index,context,question,answer
455,"Tnejn mill-aktar xogħlijiet magħrufa tiegħu, il-Pietà u David, skolpihom qabel għalaq it-tletin sena. Minkejja li kien iqis il-pittura inferjuri għall-iskultura, Mikelanġlu ħoloq tnejn mix-xogħlijiet fl-affresk l-iżjed influwenti fl-istorja tal-arti tal-Punent: ix-xeni mill-Ġenesi fis-saqaf u L-Aħħar Ġudizzju fuq il-ħajt tal-altar tal-Kappella Sistina f'Ruma. Bħala arkitett, Mikelanġlu kien pijunier fl-istil Manjerista bid-disinn li fassal għall-Bibljoteka Lawrenzjana. Fl-età 72 sena ħa post Antonio da Sangallo ż-Żgħir bħala l-arkitett tal-Bażilika ta' San Pietru. Mikelanġlu ttrasforma l-pjan u n-naħa tal-Punent tlestiet skont id-disinji tiegħu waqt li l-koppla tkompliet wara mewtu bi ftit modifiki.",Liem huma tnejn mil-aktar xogħlijiet mfakkra ta' Mikelanġlu?,il-Pietà u David
456,"Mikhail Sergeyevich Gorbachev kien politiku Russu. Hu serva bħala t-tmien u l-aħħar mexxej tal-Unjoni Sovjetika bejn l-1985 u l-1991. It-tentattivi tiegħu għar-riformi wasslu għat-tmiem tal-Gwerra l-Bierda, kif ukoll ikkawżaw tmiem is-supremazija politika tal-Partit Komunista tal-Unjoni Sovjetika (PKUS) u x-xoljiment tal-Unjoni Sovjetika. Fl-1990 ingħata l-Premju Nobel għall-Paċi.",Min kien l-aħħar mexxej tal-Unjoni Sovjetika?,Mikhail Sergeyevich Gorbachev
457,"Mikhail Sergeyevich Gorbachev kien politiku Russu. Hu serva bħala t-tmien u l-aħħar mexxej tal-Unjoni Sovjetika bejn l-1985 u l-1991. It-tentattivi tiegħu għar-riformi wasslu għat-tmiem tal-Gwerra l-Bierda, kif ukoll ikkawżaw tmiem is-supremazija politika tal-Partit Komunista tal-Unjoni Sovjetika (PKUS) u x-xoljiment tal-Unjoni Sovjetika. Fl-1990 ingħata l-Premju Nobel għall-Paċi.",X' wassal għat-tmiem Gorbachev?,Gwerra l-Bierda
458,"Mikhail Sergeyevich Gorbachev kien politiku Russu. Hu serva bħala t-tmien u l-aħħar mexxej tal-Unjoni Sovjetika bejn l-1985 u l-1991. It-tentattivi tiegħu għar-riformi wasslu għat-tmiem tal-Gwerra l-Bierda, kif ukoll ikkawżaw tmiem is-supremazija politika tal-Partit Komunista tal-Unjoni Sovjetika (PKUS) u x-xoljiment tal-Unjoni Sovjetika. Fl-1990 ingħata l-Premju Nobel għall-Paċi.",Liem premju Nobel ingħata u f' liem sena?,Fl-1990 ingħata l-Premju Nobel għall-Paċi.
459,"Għaldaqstant ħa sehem fit-tkeċċija tal-Kavallieri minn Malta favur il-ħakma Franċiza, u għalhekk intefa' l-ħabs mill-Kavallieri fil-forti Rikażli fejn dam sentejn sakemm inħeles minn Napuljun li laħħqu Ajjutant biex isoddlu ħalqu. Għall-għerf li bih kien imżejjen u għall-ħidma li ħadem favur il-Franċiżi kien ħaqqu jiġi mħallas b'xi ħaġa aħjar. Meta l-Ingliżi waslu Malta tefgħu lil Vassalli mill-ġdid fil-ħabs ""fuq suspett li hu miftiehem mal-għedewwa"". Huwa qatta' sena fil-qorti Kapitanali tal-Imdina sakemm marad u ħaduh fl-isptar tad-Dumnikani tar-Rabat. Jingħad li lanqas fl-isptar ma fdawh għax rabtulu siequ b'katina tal-ħadid mas-sodda. Xahar wara, eżiljawh fi Franza għal dejjem bħala Ġakbin.",Min ħeles lil Vassalli mil-ħabs?,Napuljun
460,"Billi l-familja tiegħu riditu jsir qassis bagħtuh is-Seminarju. Huwa malajr wera l-ħiliet tiegħu u għalhekk issokta l-istudji tiegħu f'Ruma fejn tħarreġ tajjeb fil-Latin u t-Taljan iżda l-iktar fl-ilsna semitiċi li ma damx ma sar professur tagħhom. Vassalli kien jemmen li l-akbar ħtieġa li kellu l-poplu Malti kienet li jgħolli lilu nnifsu billi jintebah min hu, jitgħallem sew ilsienu għax fih jinsab il-qofol ta' ħajtu u permezz ta' lsienu jsir midħla tal-ideat progressivi li bihom il-ġnus Ewropej kienu qed jagħmlu passi ta' ġgant 'il quddiem. Vassalli, fil-kitbiet tiegħu, ħajjar lill-Maltin biex ma jaqtaw qalbhom qatt.",Fiex sar professur Vassalli?,fl-ilsna semitiċi
461,"Mileva Jovanova Filipović (kunjomha xebba Kalezyc; twieldet fl-4 ta' Settembru 1938 - mietet fil-11 ta' Lulju 2020) kienet soċjologa Montenegrina, u kienet Professur tad-Dritt fl-Università tal-Montenegro, fejn minkejja l-isforzi tagħha ma rnexxilhiex tistabbilixxi Dipartiment tal-Istudji dwar il-Ġeneri.",Xi pruvat tistabilixxi Filipović?,Dipartiment tal-Istudji dwar il-Ġeneri.
462,"Il-Milied hija festa vaganza ċċelebrata l-iktar fil-25 ta' Diċembru biex tfakkar it-twelid ta' Ġesù, il-figura ċentrali tal-Kristjanità. Mhuwiex magħruf jekk din il-ġurnata hix tassew il-ġurnata tat-twelid ta' Ġesù imma jista' jkun li ħadet post il-festa qadima tas-solistizju tax-xitwa fil-kalendarju antik Ruman. Minkejja li l-Milied hija predominantement festa Nisranija, din tiġi ċċelebrata minn ħafna nies li mhumiex ta' twemmin Nisrani. Fost id-drawwiet popolari marbuta mal-Milied insibu l-għoti tar-rigali, il-Father Christmas, il-mużika u l-għanjiet tal-Milied, kartolini b'xewqat, ċelebrazzjonijiet reliġjużi bħall-quddies ta' nofs il-lejl, ikel speċjali, u dekorazzjonijiet varji bħas-siġra tal-Milied, dwal, girlandi, mistletoes, presepji, u l-holly.",Meta kienet tiġi ċċelebrata l-festa tas-solistizju tax-xitwa?,fil-25 ta' Diċembru
463,"Il-Milied hija festa vaganza ċċelebrata l-iktar fil-25 ta' Diċembru biex tfakkar it-twelid ta' Ġesù, il-figura ċentrali tal-Kristjanità. Mhuwiex magħruf jekk din il-ġurnata hix tassew il-ġurnata tat-twelid ta' Ġesù imma jista' jkun li ħadet post il-festa qadima tas-solistizju tax-xitwa fil-kalendarju antik Ruman. Minkejja li l-Milied hija predominantement festa Nisranija, din tiġi ċċelebrata minn ħafna nies li mhumiex ta' twemmin Nisrani. Fost id-drawwiet popolari marbuta mal-Milied insibu l-għoti tar-rigali, il-Father Christmas, il-mużika u l-għanjiet tal-Milied, kartolini b'xewqat, ċelebrazzjonijiet reliġjużi bħall-quddies ta' nofs il-lejl, ikel speċjali, u dekorazzjonijiet varji bħas-siġra tal-Milied, dwal, girlandi, mistletoes, presepji, u l-holly.",Xi jfakkar il-Milied?,it-twelid ta' Ġesù
464,"Wara li l-monasteri tniżżlu fil-lista tas-Siti ta' Wirt Dinji tal-UNESCO, l-Instituto Nacional de Antropología e Historia (INAH) wiegħed u alloka miljuni ta' pesos għar-restawr u għall-preservazzjoni ta' ħdax-il monasteru. Il-biċċa l-kbira tal-flejjes ġew immirati lejn il-problemi kkawżati mill-umdità fil-ħitan. Wieħed mill-ewwel proġetti kien ir-restawr tal-affreski mal-ħitan tal-monasteru ta' Tetela del Volcán. Proġett bikri ieħor kien ir-restawr tal-ġonna u tal-għelieqi tal-monasteru ta' Atlatlahucan. Dawn l-għelieqi issa jipproduċu l-avokado u għelejjel oħra li jinbigħu bħala għajnuna biex tiġi ffinanzjata l-manutenzjoni.",X' ikkawża problemi fil-ħitan?,umdità
465,"Il-Monasteru ta' Suso huwa l-eqdem binja u x'aktarx li nbena fuq is-sit ta' eremitaġġ fejn kien għex San Emiljanu (bl-Ispanjol: San Millán). Probabbilment l-iżjed ħaġa li hu magħruf għaliha l-Monasteru ta' Suso hi li l-ewwel frażijiet bl-Ispanjol u bil-Bask inkitbu hemmhekk għall-ewwel darba. L-UNESCO tirrikonoxxi s-sit ""bħala l-post fejn twieldet il-lingwa Spanjola miktuba u mitkellma moderna"". Il-frażijiet bl-Ispanjol u bil-Bask huma glossi fuq test Latin u huma magħrufa bħala l-Glosas Emilianenses. Hemm dibattitu miftuħ dwar jekk il-kelmiet bl-Ispanjol humiex miktubin f'forma bikrija ta' Kastiljan (Spanjol) jew f'forma bikrija simili ta' Navarro-Aragoniż (lingwa antenata tal-Aragoniż modern). Xorta waħda, l-importanza ta' San Millán bħala n-nieqa tal-lingwa Spanjola hija msaħħa mill-prossimità tal-villaġġ ta' Berceo li huwa assoċjat ma' Gonzalo de Berceo, l-ewwel poeta Spanjol magħruf b'ismu.",Kif hu rikonoxxut l-monasteru?,bħala l-post fejn twieldet il-lingwa Spanjola miktuba u mitkellma moderna
466,"X'aktarx li isem is-sit oriġina minn isem l-għasafar tal-priża tipiċi tal-inħawi, li jinsabu fil-foresti madwar il-monasteru (huhurezi). Sal-1862 il-monasteru kien għall-irġiel biss. Wara li l-patrijiet tal-monasteru ġew ittrasferiti lejn Bistriţa, il-monasteru beda jintuża minn 48 soru. Il-kumpless kien fih ukoll sptar rurali b'50 sodda. Il-monasteru nbena bl-istil Brâncoveanu, u fl-1993 tniżżel fil-lista tas-Siti ta' Wirt Dinji tal-UNESCO. Il-monasteru ġie rrestawrat diversi drabi mill-1827 u jitqies bħala binja storika nazzjonali tar-Rumanija.",Fuq liem stil inbena l-monasteru?,Il-monasteru nbena bl-istil Brâncoveanu
467,"X'aktarx li isem is-sit oriġina minn isem l-għasafar tal-priża tipiċi tal-inħawi, li jinsabu fil-foresti madwar il-monasteru (huhurezi). Sal-1862 il-monasteru kien għall-irġiel biss. Wara li l-patrijiet tal-monasteru ġew ittrasferiti lejn Bistriţa, il-monasteru beda jintuża minn 48 soru. Il-kumpless kien fih ukoll sptar rurali b'50 sodda. Il-monasteru nbena bl-istil Brâncoveanu, u fl-1993 tniżżel fil-lista tas-Siti ta' Wirt Dinji tal-UNESCO. Il-monasteru ġie rrestawrat diversi drabi mill-1827 u jitqies bħala binja storika nazzjonali tar-Rumanija.",F' liem sena tniżżel bħala Siti ta' Wirt Dinji l-monasteru?,fl-1993
468,"Il-knisja hija ddedikata lit-Trinità Mqaddsa. Mill-kumpless ikbar preċedenti tal-monasteru, li kien jinkludi bosta strutturi (kmamar tal-ikel, binjiet residenzjali u oħrajn), illum il-ġurnata għad fadal biss il-Knisja tat-Trinità Mqaddsa. Fl-imgħoddi l-monasteru kien imdawwar b'ħajt għoli tal-ġebel li kellu żewġ daħliet. It-tlestija tal-affreski tal-partijiet ewlenin tal-knisja jistgħu b'mod indirett jiġu datati għal bejn l-1263 u l-1270. Fil-Monasteru ta' Sopoćani tħejja pjan ta' tiżjin li twettaq matul is-seklu 13. Fil-presbiterju hemm xeni liturġiċi, fin-navata hemm xeni tas-salvazzjoni ta' Kristu permezz ta' ċiklu ta' Festi Kbar, u fin-narthex hemm xeni mit-Testment l-Antik b'temi eskatoloġiċi u dogmatiċi. Barra minn hekk, hemm ir-ritratti ikonografiċi tal-familja Nemanjic u xeni storiċi ta' Simeon Nemanja u San Sava. Wara Gradac (għall-ħabta tal-1275), il-wegħda tar-Reġina Elena ta' Anjou, il-mara tal-fundatur tal-Monasteru ta' Sopoćani, ir-Re Uros I, il-pitturi wrew kreattività kbira fejn x'aktarx li ntlaħqet il-quċċata tal-arti kreattiva fis-Serbja.",X' fadal mill-kumpless illum?,il-Knisja tat-Trinità Mqaddsa
469,"Fl-1984, Monsinjur Grech waqqaf il-Proġetti tal-Caritas għall-Prevenzjoni u r-Riabilitazzjoni mid-Droga u fl-1985 waqqaf l-ewwel Komunità Terapewtika għal dawk li jabbużaw mid-droga f’Malta, ta bidu għall-ewwel Xelter residenzjali għall-irġiel kif ukoll għan-nisa, u fetaħ Dar għar-riabilitazzjoni tal-Priġunieri bi problemi ta’ droga. Monsinjur Grech kien il-Fundatur u l-ewwel Ċermen tal-Fondazzjoni tal-Caritas għar-Riabilitazzjoni tad-Drogati.",Min kien il-fundatur tal-Caritas?,Monsinjur Grech
470,"Morelia (pronunzja bl-Ispanjol: [moˈɾelja]; mill-1545 sal-1828 magħrufa bħala Valladolid) hija belt u sede muniċipali tal-muniċipalità ta' Morelia fil-parti ċentrali u tat-Tramuntana tal-istat ta' Michoacán fil-Messiku ċentrali. Il-belt tinsab fil-Wied ta' Guayangareo u hija l-belt kapitali u l-ikbar belt tal-istat. Il-kulturi pre-Ispaniċi prinċipali hawnhekk kienu l-Purépecha u l-Matlatzinca, iżda ma ġiet stabbilita l-ebda belt fil-wied matul dak iż-żmien. L-Ispanjoli ħadu l-kontroll tal-inħawi fis-snin 20 tas-seklu 16. L-Ispanjoli, taħt il-Viċirè Antonio de Mendoza, stabbilew insedjament hawnhekk fl-1541 u semmewh Valladolid, u sar ir-rivali tal-belt fil-qrib ta' Pátzcuaro għad-dominanza f'Michoacán. Fl-1580, din ir-rivalità ntemmet favur Valladolid, u saret il-belt kapitali tal-provinċja tal-Viċirè. Wara l-Gwerra Messikana tal-Indipendenza, il-belt ingħatat l-isem ta' Morelia f'ġieħ José María Morelos, ċittadin tal-belt. Fl-1991 il-belt tniżżlet fil-lista tas-Siti ta' Wirt Dinji tal-UNESCO bis-saħħa tal-binjiet storiċi ppreservati tagħha kif ukoll il-konfigurazzjoni ppreservata taċ-ċentru storiku. Hemm tradizzjoni li n-nies li jitwieldu fit-30 ta' Settembru jingħataw isem il-belt.",Fejn tinsab il-belt?,fil-Wied ta' Guayangareo
471,"Morelia (pronunzja bl-Ispanjol: [moˈɾelja]; mill-1545 sal-1828 magħrufa bħala Valladolid) hija belt u sede muniċipali tal-muniċipalità ta' Morelia fil-parti ċentrali u tat-Tramuntana tal-istat ta' Michoacán fil-Messiku ċentrali. Il-belt tinsab fil-Wied ta' Guayangareo u hija l-belt kapitali u l-ikbar belt tal-istat. Il-kulturi pre-Ispaniċi prinċipali hawnhekk kienu l-Purépecha u l-Matlatzinca, iżda ma ġiet stabbilita l-ebda belt fil-wied matul dak iż-żmien. L-Ispanjoli ħadu l-kontroll tal-inħawi fis-snin 20 tas-seklu 16. L-Ispanjoli, taħt il-Viċirè Antonio de Mendoza, stabbilew insedjament hawnhekk fl-1541 u semmewh Valladolid, u sar ir-rivali tal-belt fil-qrib ta' Pátzcuaro għad-dominanza f'Michoacán. Fl-1580, din ir-rivalità ntemmet favur Valladolid, u saret il-belt kapitali tal-provinċja tal-Viċirè. Wara l-Gwerra Messikana tal-Indipendenza, il-belt ingħatat l-isem ta' Morelia f'ġieħ José María Morelos, ċittadin tal-belt. Fl-1991 il-belt tniżżlet fil-lista tas-Siti ta' Wirt Dinji tal-UNESCO bis-saħħa tal-binjiet storiċi ppreservati tagħha kif ukoll il-konfigurazzjoni ppreservata taċ-ċentru storiku. Hemm tradizzjoni li n-nies li jitwieldu fit-30 ta' Settembru jingħataw isem il-belt.",F' ġieħ min issemiet il-belt?,José María Morelos
472,"""Citius, Altius, Fortius!"" hi l-espressjoni bil-Latin (pron.: ci-zius, al-zius, for-zius) li tifforma l-mottu uffiċjali tal-Olimpjadi. Fl-ispirtu sportiv tal-Logħob Olimpiku, din għandha s-sinjifikat ta': ""Aktar veloċi, aktar fl-għoli, aktar b'saħħa"". Dan il-mottu, flimkien mal-ħames ċrieki u l-fjamma Olimpika, hu wieħed mis-simboli prinċipali tal-Olimpjadi.",Liem huma s-simboli prinċipali tal-Olimpjadi?,"il-mottu, flimkien mal-ħames ċrieki u l-fjamma Olimpika"
473,"Wolfgang Amadeus Mozart (Johannes Chrysostomus Wolfgangus Theophilus Mozart) kompożitur famuż tal-Mużika Klassika. Il-fama ta' Mozart hija tant kbira li ismu jippersonifika l-mużika klassika tal-punent. Hu meqjus bħala wieħed mill-akbar ġenji mużikali u sa llum għadu ħaj fi qlub il-mużiċisti ta' kull stil u talent. Għalkemm miet ta' eta żgħira, f'ħajtu kkompona madwar 600 xogħol, fosthom il-melodija famuża Eine kleine Nachtmusik, u l-Marċ Tork flimkien ma' 41 sinfonija u kollezzjoni kbira ta' mużika għall-pjanu u mużika vokali.",Kemm il-biċċa xogħol ikkompona Mozart?,madwar 600
474,"Imwieled f’Salzburg, l-Awstrija nhar is-27 ta’ Jannar 1756, Amadeus trabba f’ambjent mużikali mill-aqwa. Ta’ erba’ snin beda jitgħallem il-mużika għand missieru, kompożitur u vjolinista tal-Isqof ta’ Salzburg li kien ukoll il-Prinċep tal-belt. Barra li beda jdoqq xi strumenti tal-korda ta’ età tenera kien diġà beda jikkomponi xi bċejjeċ. Ta’ sitt snin flimkien ma’ oħtu Marianne, kien jagħti l-kunċerti f'Munich u Vjenna. Ta' disa' snin kien diġà żar Londra, Pariġi u bliet oħra fejn wera l-kapaċità mużikali mill-aqwa li kellu. Fl-1768, Vjenna, kiteb l-ewwel opra tiegħu La Finta Semplice fuq talba tal-Imperatur Awstrijak. Imma l-opra ttellgħet s-sena ta’ wara f’belt twelidu, Salzburg. Ta’ tlettax -il sena Mozart sar Direttur tal-Kunċerti fil-Qorti tal-Isqof ta’ Salzburg. Aktar tard beda jikkomponi ammont kbir ta’ xogħlijiet u żar Milan, Ruma u bliet oħra Taljani.",X' kien jisimha l-ewwel opra ta' Mozart?,La Finta Semplice
475,"Fl-1786 hu kkompona Le Nozze di Figaro waqt li s-sena ta’ wara kiteb kapolavur ieħor - Don Giovanni. Fl-1788, l-Imperatur Joseph II impjegah bħala mużiċista fil-palazz tiegħu b’salarju ta’ 80 lira fis-sena. Għalkemm dan kien salarju fenominali għal dak iż-żmien xorta baqa’ mċappas bid-djun li kien għamel.",Kemm kien is-salarju ta' Mozart?,80 lira fis-sena
476,"Fl-aħħar sena ta’ ħajtu kkompona l-famuża opra 'il-Flawt Maġiku' u l-Messa de Requiem, xogħol korali li fiha tista’ tgħid antiċipa l-mewt tiegħu stess, minħabba li lanqas laħaq spiccaha u komplieha wara mewtu l-alliev tiegħu Sussmayr. Mozart kien l-aqwa kompożitur operistiku ta’ żmienu. Kemm l-opri komiċi u anke dawk klassiċi huma mmarkati b’intensità drammatika mill-aqwa. Mifni bil-mard u bit-tbatija tax-xogħol, Wolfgang Amadeus Mozart miet nhar il-5 ta' Diċembru 1791, fl-età żgħira ta’ 35 sena. Bħalma għex ta’ fqir, hekk wara mewtu difnuh f’qabar komuni, qalb it-tallaba. Imma mhux l-istess ġralha l-mużika tiegħu, li baqgħet tiġi apprezzata dejjem iżjed mal-mixja taż-żmien u li għamlet lil Mozart fost l-aqwa kompożituri li qatt dehru taħt il-kappa tax-xemx.",Ta' liem età miet Mozart?,35 sena
477,"Muammar Muħammad Abu Minjar al-Gaddafi  (magħruf ukoll bħala Muammar Gaddafi jew Kurunell Gaddafi; Surt, 7 ta' Ġunju 1942 – Surt, 20 ta' Ottubru 2011) kien politiku Libjan, li mill-1969 serva bħala l-kap ta' pajjiżu sat-tneħħija mill-poter fl-2011. Wara li ħa t-tmexxija permezz ta' kolp ta' stat fl-1969 li temm il-monarkija ta' Sajjid Ħasan I, hu impona l-ideoloġija politika tiegħu li ġiet ippubblikata fil-Ktieb l-Aħdar. Wara 42 sena ta' tmexxija, hu waqa' mill-poter kawża tar-Rivoluzzjoni Libjana tal-2011 li fiha ħalla ħajtu.",Kif ħa t-tmexxija Gaddafi?,permezz ta' kolp ta' stat
478,"Muammar Muħammad Abu Minjar al-Gaddafi  (magħruf ukoll bħala Muammar Gaddafi jew Kurunell Gaddafi; Surt, 7 ta' Ġunju 1942 – Surt, 20 ta' Ottubru 2011) kien politiku Libjan, li mill-1969 serva bħala l-kap ta' pajjiżu sat-tneħħija mill-poter fl-2011. Wara li ħa t-tmexxija permezz ta' kolp ta' stat fl-1969 li temm il-monarkija ta' Sajjid Ħasan I, hu impona l-ideoloġija politika tiegħu li ġiet ippubblikata fil-Ktieb l-Aħdar. Wara 42 sena ta' tmexxija, hu waqa' mill-poter kawża tar-Rivoluzzjoni Libjana tal-2011 li fiha ħalla ħajtu.",Kemm dam jmexxi Gaddafi?,42 sena
479,"Muammar Muħammad Abu Minjar al-Gaddafi  (magħruf ukoll bħala Muammar Gaddafi jew Kurunell Gaddafi; Surt, 7 ta' Ġunju 1942 – Surt, 20 ta' Ottubru 2011) kien politiku Libjan, li mill-1969 serva bħala l-kap ta' pajjiżu sat-tneħħija mill-poter fl-2011. Wara li ħa t-tmexxija permezz ta' kolp ta' stat fl-1969 li temm il-monarkija ta' Sajjid Ħasan I, hu impona l-ideoloġija politika tiegħu li ġiet ippubblikata fil-Ktieb l-Aħdar. Wara 42 sena ta' tmexxija, hu waqa' mill-poter kawża tar-Rivoluzzjoni Libjana tal-2011 li fiha ħalla ħajtu.",Kif waqa' mil-poter Gaddafi?,kawża tar-Rivoluzzjoni Libjana tal-2011
480,"Fl-1967, huwa kien ħa deċiżjoni li ħolqot kontroversja kbira u li għadu magħruf għaliha sal-ġurnata tal-lum. Dan hekk kif huwa kien oppona l-gwerra Amerikana fil-Vjetnam, xi ħaġa li għaliha kien ġie kkritikat ferm mill-poplu Amerikan. Huwa kien ħa din id-deċiżjoni għax irrifjuta li jingħaqad mal-militar Amerikan, xi ħaġa li għaliha patta qares hekk kif kien itteħidlu l-ewwel titlu mondjali tal-boksing li kien rebaħ u anke saħansitra l-liċenzja tiegħu tal-boksing. Wara dan kollu huwa ma kienx ħa sehem fi ġlieda oħra għal kważi erba' snin sħaħ.",Għaliex itteħidlu t-titlu?,għax irrifjuta li jingħaqad mal-militar Amerikan
481,"Måneskin huwa grupp mużikali rock Taljan li ngħaqad f’Ruma fl-2016. Il-grupp mużikali huwa magħmul minn Damiano David (vuċi), Victoria De Angelis (bass), Thomas Raggi (kitarra) u Ethan Torchio (tnabar). Meta ngħaqad il-grupp kien idoqq fit-toroq, iżda mbagħad sar popolari ħafna wara li spiċċa t-tieni fil-ħdax-il staġun tat-talent show X Factor fl-Italja fl-2017 u ffirma mat-tikketta diskografika Sony, filwaqt li kiseb prominenza internazzjonali meta rebaħ il-Festival Mużikali ta’ Sanremo fl-2021 u l-Festival tal-Eurovision tal-2021 – f’dan tal-aħħar irrappreżenta l-Italja bil-kanzunetta ""Zitti e buoni"".",B' liem diska rebaħ l-Eurovision l-grupp?,Zitti e buoni
482,"L-NF-Board (bl-Ingliż: New Federation-Board), hi assoċjazzjoni stabbilita fit-12 ta' Diċembru 2003. Hi magħmula minn timijiet li jirrapreżentaw nazzjonijiet li mhumiex rikonoxxuti bħala stati sovrani u għalhekk mhumiex eliġibbli biex ikunu membri tal-FIFA. L-NFB taħdem bħala organizzazzjoni temporarja, qabel mal-membri tagħha jiksbu l-isħubija tagħha. Il-fundatur u s-segretarju ġenerali kurrenti hu Luc Misson, u hu avukat Belġjan li rrapreżenta lill-plejer tal-futbol Jean-Marc Bosman fil-każ li wassal għas-sentenza Bosman li stabilixxiet iktar libertà għall-plejers professjonali biex jmorru jaħdmu madwar l-Ewropa.",Lil min jirrapreżenta l-NF-Board?,jirrapreżentaw nazzjonijiet li mhumiex rikonoxxuti bħala stati sovrani u għalhekk mhumiex eliġibbli biex ikunu membri tal-FIFA
483,"L-NF-Board (bl-Ingliż: New Federation-Board), hi assoċjazzjoni stabbilita fit-12 ta' Diċembru 2003. Hi magħmula minn timijiet li jirrapreżentaw nazzjonijiet li mhumiex rikonoxxuti bħala stati sovrani u għalhekk mhumiex eliġibbli biex ikunu membri tal-FIFA. L-NFB taħdem bħala organizzazzjoni temporarja, qabel mal-membri tagħha jiksbu l-isħubija tagħha. Il-fundatur u s-segretarju ġenerali kurrenti hu Luc Misson, u hu avukat Belġjan li rrapreżenta lill-plejer tal-futbol Jean-Marc Bosman fil-każ li wassal għas-sentenza Bosman li stabilixxiet iktar libertà għall-plejers professjonali biex jmorru jaħdmu madwar l-Ewropa.",Min hu l-fundatur tal-NF-Board?,Luc Misson
484,"Natura mejta hi xogħol tal-arti li jirrappreżenta oġġetti inanimi, ġeneralment oġġetti ta' kuljum li jistgħu ikunu naturali (ikel, fjuri, xtieli, ġebel, jew arzell) jew magħmulin mill-bniedem (għodda tal-kċina, fajjenza, kotba, vażuni, ġojjelli, muniti, pipi, etc) fi spazju artifiċjali. Il-pittura tan-natura mejta, li bdiet fl-antikità u saret popolari l-iżjed fil-punent, tagħti lill-artista iżjed libertà fit-tqegħid tal-elementi tad-disinn f'kompożizzjoni mill-pittura ta' suġġetti oħra, bħall-veduti u r-ritratti. Fin-natura mejta, l-iżjed qabel l-1700, sikwit kien ikun simboliżmu reliġjuż u allegoriku assoċjat mall-oġġetti rappreżentati. F'xi każi n-natura mejta toħroġ mil-limiti bidimensjonali permezz ta' mezzi tekniċi tridimensjonali li jħalltu oġġetti misjubin, fotografiji, grafika ġenerata mill-kompjuters kif ukoll ħoss u vidjo.",Fejn hi l-iżjed popolari n-natura mejta?,fil-punent
485,"Enrico Mizzi, magħruf popolarment bħala Nerik Mizzi (Valletta, 20 ta' Settembru, 1885 – Valletta, 20 ta' Diċembru, 1950) kien politiku Malti li għal ftit serva bħala Prim Ministru ta' Malta. Hu jibqa' l-uniku Prim Ministru li miet fil-kariga, fl-età ta' 65 sena. Kien ukoll l-inqas wieħed li dam Prim Ministru, tliet xhur biss. Kien Kap tal-Partito Democratico Nazionalista l-ewwel u tal-Partito Nazionalista (il-Partit Nazzjonalista tal-lum il-ġurnata) sa mewtu.",Kemm dam Prim Ministru Enrico Mizzi?,tliet xhur
486,"L-Università ta' New York, jew New York University (NYU) hija università li tinsab fi New York City, ġewwa l-Stati Uniti. . Ġiet fundata fl-1831 minn Albert Gallatin bħala ċentru tal-istudju miftuħ għal kulħadd, mingħajr ebda distinzjoni tan-nazzjonalità, twemmin reliġjuż jew sfond soċjali—impenn li għadu miżmum sal-lum. NYU illum hija fost l-ikbar universitajiet fl-Amerika u fid-dinja. Mill-158 li kienu applikaw fl-1831, illum din l-università tgħodd mal-40,000 student maqsuma f'erbatax-il stitut u kulleġġi f'sitt distretti ta' Manhattan. Barra minn dawn is-sitt ċentri, għandha wkoll faċilitajiet tagħha ġewwa Londra, Pariġi, Tel Aviv, Buenos Aires, Firenze, Praga, Madrid, Berlin, Accra, u Shanghai. Jgħallmu ġo din l-università hemm 3,100 professur.",Kemm timpjega professuri?,"3,100 professur"
487,"Oliver Friggieri (27 ta’ Marzu 1947 – 21 ta’ Novembru 2020) kien poeta, rumanzier, kritiku letterarju u filosfu Malti. Kien jgħallem l-Università ta’ Malta u kellu sehem ewlieni fit-twaqqif tal-istorja u l-kritika letterarja bil-Malti, bi studji dwar Dun Karm, Rużar Briffa u bosta kittieba oħra. Bil-kitbiet tiegħu stinka biex jippromwovi l-lingwa u l-identità kulturali Maltija. Ħaddem bosta ġeneri ġodda għal-lingwa u kiteb l-ewwel kantata u libretti għall-ewwel oratorju bil-Malti. Wieħed mill-iktar rumanzi famużi u kontroversjali tiegħu, Fil-Parlament Ma Jikbrux Fjuri (1986), jattakka l-qasmiet tribalistiċi fis-soċjetà kkawżati mill-politika. Bħala filosfu, ken interessat l-iktar fl-epistemoloġija u l-eżistenzjaliżmu.",X' jitratta l-ktieb Fil-Parlament Ma Jikbrux Fjuri?,l-qasmiet tribalistiċi fis-soċjetà kkawżati mill-politika
488,"Oskar Schindler (28 t'April 1908 – 9 ta' Ottubru 1974) kien industrijalist Ġermaniż, spjun, u membru tal-partit Nażista, li salva 1,200 Lhudi matul l-Olokawst billi daħħalhom jaħdmu fil-fabbriki tiegħu tal-borom u tal-armi, li kellu f'dik li llum hija l-Polonja u r-Repubblika Ċeka rispettivament. Huwa s-suġġett tar-rumanz tal-1982 bl-isem Schindler's Ark, u l-film tal-1993 Schindler's List, li jirrifletti ħajtu bħala opportunist li fil-bidu kien jinteressah biss il-profit iżda li mbagħad wera inizjattiva straordinarja, tenaċità, u dedikazzjoni biex isalva l-ħajja tal-ħaddiema tiegħu.",Kif kien jsalva l-Lhud Schindler?,billi daħħalhom jaħdmu fil-fabbriki tiegħu tal-borom u tal-armi
